x,σH2_cathode,σO2_anode
0.0,0.876831296117518,0.9977093044775206
1.0e-7,0.8768336887777688,0.9934413410353028
2.0e-7,0.8768408666655616,0.98917364871689
3.0e-7,0.8768528295020234,0.98490640393701
4.0e-7,0.8768695768223772,0.9806397830850274
5.0e-7,0.8768911079759599,0.9763739625149488
6.0e-7,0.8769174221262489,0.9721091185354354
7.0e-7,0.8769485182508933,0.96784542739982
8.0e-7,0.8769843951417543,0.9635830652961355
9.0e-7,0.8770250514049521,0.9593222083371492
1.0e-6,0.8770704854609198,0.9550630325504113
1.1e-6,0.8771206955444647,0.9508057138683138
1.2e-6,0.8771756797048375,0.9465504281181651
1.3e-6,0.8772354358058073,0.9422973510122798
1.4e-6,0.8772999615257454,0.9380466581380834
1.5e-6,0.8773692543577146,0.9337985249482385
1.6e-6,0.8774433116095673,0.9295531267507889
1.7e-6,0.8775221304040498,0.9253106386993251
1.8e-6,0.8776057076789142,0.9210712357831731
1.9e-6,0.8776940401870372,0.9168350928176068
2.0e-6,0.8777871244965467,0.9126023844340864
2.1e-6,0.8778849569909543,0.9083732850705232
2.2e-6,0.8779875338692966,0.904147968961573
2.3e-6,0.8780948511462826,0.8999266101289595
2.4e-6,0.8782069046524487,0.8957093823718275
2.5e-6,0.87832369003432,0.8914964592571314
2.6e-6,0.8784452027545803,0.8872880141100541
2.7e-6,0.8785714380922481,0.8830842200044632
2.8e-6,0.8787023911428599,0.8788852497534034
2.9e-6,0.8788380568186608,0.874691275899627
3.0e-6,0.8789784298488019,0.8705024707061623
3.1e-6,0.8791235047795456,0.8663190061469236
3.2e-6,0.8792732759744772,0.8621410538973632
3.3e-6,0.8794277376147243,0.8579687853251663
3.4e-6,0.8795868836991818,0.8538023714809886
3.5e-6,0.8797507080447459,0.8496419830892424
3.6e-6,0.8799192042865545,0.8454877905389273
3.7e-6,0.8800923658782341,0.8413399638745097
3.8e-6,0.8802701860921541,0.8371986727868516
3.9e-6,0.8804526580196882,0.8330640866041901
4.0e-6,0.8806397745714829,0.8289363742831679
4.1e-6,0.8808315284777329,0.8248157043999179
4.2e-6,0.881027912288464,0.8207022451412003
4.3e-6,0.8812289183738214,0.8165961642955957
4.4e-6,0.8814345389243674,0.8124976292447541
4.5e-6,0.8816447659513837,0.8084068069547021
4.6e-6,0.8818595912871828,0.8043238639672075
4.7e-6,0.8820790065854249,0.8002489663912039
4.8e-6,0.8823030033214418,0.7961822798942758
4.9e-6,0.8825315727925686,0.7921239696942062
5.0e-6,0.8827647061184816,0.7880742005505843
5.1e-6,0.8830023942415433,0.7840331367564808
5.2e-6,0.8832446279271543,0.7800009421301838
5.3e-6,0.8834913977641121,0.7759777800070027
5.4e-6,0.8837426941649772,0.7719638132311386
5.5e-6,0.8839985073664447,0.7679592041476211
5.6e-6,0.8842588274297241,0.7639641145943136
5.7e-6,0.8845236442409257,0.7599787058939891
5.8e-6,0.8847929475114532,0.7560031388464745
5.9e-6,0.8850667267784033,0.7520375737208671
6.0e-6,0.8853449714049727,0.7480821702478218
6.1e-6,0.8856276705808708,0.7441370876119119
6.2e-6,0.8859148133227397,0.7402024844440629
6.3e-6,0.8862063884745816,0.7362785188140599
6.4e-6,0.8865023847081915,0.7323653482231307
6.5e-6,0.8868027905235982,0.728463129596604
6.6e-6,0.8871075942495101,0.7245720192766436
6.7e-6,0.8874167840437689,0.7206921730150605
6.8e-6,0.8877303478938101,0.7168237459662018
6.9e-6,0.8880482736171293,0.7129668926799175
7.0e-6,0.8883705488617558,0.7091217670946078
7.1e-6,0.8886971611067324,0.7052885225303476
7.2e-6,0.8890280976626015,0.7014673116820928
7.3e-6,0.8893633456718989,0.6976582866129658
7.4e-6,0.8897028921096527,0.6938615987476233
7.5e-6,0.8900467237838895,0.6900773988657047
7.6e-6,0.8903948273361463,0.6863058370953626
7.7e-6,0.8907471892419914,0.6825470629068758
7.8e-6,0.8911037958115476,0.6788012251063457
7.9e-6,0.8914646331900258,0.6750684718294749
8.0e-6,0.8918296873582615,0.671348950535431
8.1e-6,0.8921989441332614,0.6676428080007923
8.2e-6,0.8925723891687535,0.66395019031358
8.3e-6,0.8929500079557441,0.6602712428673734
8.4e-6,0.893331785823082,0.6566061103555104
8.5e-6,0.8937177079380285,0.6529549367653741
8.6e-6,0.8941077593068341,0.6493178653727634
8.7e-6,0.8945019247753196,0.64569503873635
8.8e-6,0.894900189029466,0.6420865986922212
8.9e-6,0.8953025365960099,0.6384926863485082
9.0e-6,0.8957089518430438,0.6349134420801011
9.1e-6,0.8961194189806229,0.6313490055234495
9.2e-6,0.8965339220613803,0.62779951557145
9.3e-6,0.8969524449811452,0.6242651103684189
9.4e-6,0.8973749714795692,0.6207459273051531
9.5e-6,0.8978014851407576,0.6172421030140762
9.6e-6,0.8982319693939076,0.6137537733644708
9.7e-6,0.8986664075139512,0.6102810734577981
9.8e-6,0.8991047826222068,0.6068241376231037
9.9e-6,0.8995470776870332,0.6033830994125085
1.0e-5,0.8999932755244924,0.5999580915967873
1.01e-5,0.9004433587990163,0.5965492461610328
1.02e-5,0.900897310024081,0.5931566943004051
1.03e-5,0.901355111562886,0.5897805664159681
1.04e-5,0.9018167456290389,0.5864209921106096
1.05e-5,0.9022821942872477,0.5830781001850494
1.06e-5,0.902751439454016,0.579752018633929
1.07e-5,0.9032244628983468,0.5764428746419903
1.08e-5,0.9037012462424496,0.5731507945803351
1.09e-5,0.9041817709624563,0.5698759040027711
1.1e-5,0.9046660183891388,0.5666183276422414
1.11e-5,0.905153969708636,0.5633781894073369
1.12e-5,0.9056456059631834,0.5601556123788933
1.13e-5,0.9061409080518508,0.5569507188066695
1.14e-5,0.9066398567312833,0.5537636301061094
1.15e-5,0.9071424326164501,0.5505944668551855
1.16e-5,0.9076486161813972,0.5474433487913241
1.17e-5,0.908158387760005,0.5443103948084114
1.18e-5,0.9086717275467536,0.5411957229538804
1.19e-5,0.9091886155974922,0.5380994504258779
1.2e-5,0.9097090318302137,0.5350216935705114
1.21e-5,0.9102329560258346,0.5319625678791742
1.22e-5,0.9107603678289811,0.5289221879859497
1.23e-5,0.9112912467487796,0.5259006676650935
1.24e-5,0.9118255721596527,0.5228981198285924
1.25e-5,0.9123633233021209,0.5199146565238006
1.26e-5,0.9129044792836091,0.5169503889311517
1.27e-5,0.9134490190792579,0.5140054273619451
1.28e-5,0.913996921532741,0.5110798812562091
1.29e-5,0.9145481653570867,0.5081738591806361
1.3e-5,0.9151027291355052,0.505287468826592
1.31e-5,0.9156605913222202,0.5024208170081982
1.32e-5,0.9162217302433073,0.4995740096604845
1.33e-5,0.9167861240975346,0.4967471518376143
1.34e-5,0.9173537509572104,0.49394034771117923
1.35e-5,0.9179245887690353,0.4911537005685636
1.36e-5,0.9184986153549581,0.4883873128113772
1.37e-5,0.9190758084130387,0.48564128595395606
1.38e-5,0.9196561455183135,0.4829157206219306
1.39e-5,0.9202396041236675,0.48021071655085945
1.4e-5,0.9208261615607093,0.4775263725849288
1.41e-5,0.9214157950406529,0.4748627866757161
1.42e-5,0.9220084816552024,0.47222005588101745
1.43e-5,0.9226041983774426,0.46959827636373724
1.44e-5,0.9232029220627326,0.4669975433908402
1.45e-5,0.9238046294496061,0.4644179513323633
1.46e-5,0.9244092971606747,0.4618595936604884
1.47e-5,0.9250169017035359,0.45932256294867324
1.48e-5,0.9256274194716864,0.4568069508708406
1.49e-5,0.9262408267454386,0.45431284820062445
1.5e-5,0.9268570996928426,0.4518403448106723
1.51e-5,0.927476214370612,0.44938952967200174
1.52e-5,0.9280981467250541,0.446960490853412
1.53e-5,0.9287228725930046,0.4445533155209482
1.54e-5,0.9293503677027662,0.44216808993741724
1.55e-5,0.929980607675052,0.4398048994619552
1.56e-5,0.9306135680239316,0.4374638285496441
1.57e-5,0.9312492241577836,0.4351449607511781
1.58e-5,0.9318875513802504,0.43284837871257736
1.59e-5,0.9325285248911982,0.43057416417494876
1.6e-5,0.9331721197876797,0.4283223979742922
1.61e-5,0.9338183110649024,0.4260931600413519
1.62e-5,0.9344670736171995,0.4238865294015108
1.63e-5,0.9351183822390059,0.4217025841747285
1.64e-5,0.9357722116258377,0.41954140157551983
1.65e-5,0.9364285363752735,0.4174030579129741
1.66e-5,0.9370873309879436,0.41528762859081364
1.67e-5,0.9377485698685194,0.4131951881074905
1.68e-5,0.9384122273267084,0.41112581005632076
1.69e-5,0.9390782775782518,0.4090795671256544
1.7e-5,0.9397466947459262,0.40705653109908063
1.71e-5,0.9404174528605503,0.40505677285566616
1.72e-5,0.941090525861992,0.4030803623702281
1.73e-5,0.9417658876001822,0.4011273687136365
1.74e-5,0.9424435118361297,0.39919786005314895
1.75e-5,0.943123372242942,0.39729190365277345
1.76e-5,0.9438054424068466,0.3954095658736614
1.77e-5,0.9444896958282188,0.3935509121745267
1.78e-5,0.94517610592261,0.391716007112091
1.79e-5,0.9458646460217811,0.38990491434155516
1.8e-5,0.9465552893747387,0.38811769661709394
1.81e-5,0.9472480091487735,0.3863544157923737
1.82e-5,0.9479427784305043,0.38461513282109266
