t,JH2_L,JH2_R,JO2_L,JO2_R,i_cross,MB_resid
0.05,2.3750382762744626e-17,-0.003231434874152882,0.002799716195149296,-1.2075090043364227e-26,0.0,6.332504674865132e-5
0.1,2.741708418429672e-16,-0.0018973420395872707,0.0015655621163601966,-2.7852131471396994e-25,0.0,-2.540719870244715e-5
0.15000000000000002,1.6453619727323243e-15,-0.001443636057416739,0.0011746520669860476,-3.2794455593125293e-24,0.0,-9.073778676505287e-6
0.2,6.844529696036824e-15,-0.0012081464457844556,0.0009785746522316472,-2.6281588290657002e-23,0.0,-4.713782912274447e-6
0.25,2.2202934310964695e-14,-0.001059190147841207,0.0008561142761500432,-1.6127152704278225e-22,0.0,-2.9793671533786224e-6
0.3,5.990416635065475e-14,-0.0009543287481931335,0.0007704298393994076,-8.082343088928016e-22,0.0,-2.0963138966227125e-6
0.35,1.4000890623346164e-13,-0.0008754259966333933,0.0007061837639044514,-3.445923767661895e-21,0.0,-1.5768401209106508e-6
0.39999999999999997,2.915153293530413e-13,-0.000813300040535932,0.0006557136791030679,-1.2855250602231941e-20,0.0,-1.2412788793893324e-6
0.44999999999999996,5.518587472278525e-13,-0.0007627481766303074,0.0006147118958562633,-4.2834800528506116e-20,0.0,-1.009861817227991e-6
0.49999999999999994,9.646567735572048e-13,-0.0007205757273699324,0.0005805469413316659,-1.295002055424541e-19,0.0,-8.42364239925144e-7
0.5499999999999999,1.575976639117762e-12,-0.0006846991502452148,0.0005515088289915817,-3.596419221745407e-19,0.0,-7.165401746836268e-7
0.6,2.42976511253963e-12,-0.0006536942995789067,0.00052643190053891,-9.266839160933117e-19,0.0,-6.191934044091213e-7
0.65,3.5632372753977145e-12,-0.000626550464948181,0.0005044906145846423,-2.233706090285563e-18,0.0,-5.420527315223508e-7
0.7000000000000001,5.002960283650938e-12,-0.0006025279227134719,0.000485081768760367,-5.071594813329102e-18,0.0,-4.796981927571425e-7
0.7500000000000001,6.76215379896785e-12,-0.0005810711917727437,0.0004677530090440747,-1.0910040299623701e-17,0.0,-4.284455538377651e-7
0.8000000000000002,8.839448926776208e-12,-0.0005617539653956311,0.000452157561167009,-2.2348682331783925e-17,0.0,-3.857121993180654e-7
0.8500000000000002,1.1219082259275937e-11,-0.0005442429030576343,0.00043802452786144766,-4.3783668820587716e-17,0.0,-3.4963969035707414e-7
0.9000000000000002,1.3872302284752965e-11,-0.0005282730974964751,0.00042513879851463444,-8.234945291355498e-17,0.0,-3.1886016705760974e-7
0.9500000000000003,1.6759651720237796e-11,-0.0005136310149710753,0.0004133270991243651,-1.491950774984157e-16,0.0,-2.9234685622011366e-7
1.0000000000000002,1.9833755728052917e-11,-0.0005001423599010669,0.00040244808139211323,-2.6114710759356185e-16,0.0,-2.693155833768208e-7
1.0500000000000003,2.3042273473364002e-11,-0.0004876632679698774,0.0003923851379234798,-4.4279704981720353e-16,0.0,-2.4915821422309865e-7
1.1000000000000003,2.6330734969664345e-11,-0.00047607380014582653,0.00038304109955490624,-7.290296742586969e-16,0.0,-2.3139665048465229e-7
1.1500000000000004,2.964506513016343e-11,-0.00046527305946254306,0.00037433425860888033,-1.1679811783443917e-15,0.0,-2.1565038900417909e-7
1.2000000000000004,3.293367620755756e-11,-0.00045517547300096705,0.00036619534328601516,-1.8243844989089622e-15,0.0,-2.0161323051456556e-7
1.2500000000000004,3.6149078159252815e-11,-0.0004457079241754548,0.0003585651855469994,-2.7832258177177245e-15,0.0,-1.890362845732678e-7
1.3000000000000005,3.924900929675261e-11,-0.0004368075146934533,0.0003513929021458978,-4.15360428343674e-15,0.0,-1.7771538523051432e-7
1.3500000000000005,4.2197126128907525e-11,-0.00042841979907167437,0.00034463446050572456,-6.072659053161888e-15,0.0,-1.6748164731786828e-7
1.4000000000000006,4.496331291191103e-11,-0.0004204973781520609,0.00033825153677451543,-8.709406469857007e-15,0.0,-1.5819429202571303e-7
1.4500000000000006,4.752368157127946e-11,-0.0004129987684220771,0.0003322105982241705,-1.2268317476081716e-14,0.0,-1.4973513566085648e-7
1.5000000000000007,4.9860332994033e-11,-0.0004058874854222983,0.000326482159701132,-1.6992462377231973e-14,0.0,-1.4200431121703244e-7
1.5500000000000007,5.1960947267559186e-11,-0.00039913129492817547,0.00032104017641251256,-2.316605711521914e-14,0.0,-1.3491691569283634e-7
1.6000000000000008,5.381826068356562e-11,-0.00039270159677980577,0.00031586154445733926,-3.1116261788786186e-14,0.0,-1.2840035908665871e-7
1.6500000000000008,5.542947950123477e-11,-0.00038657291445392194,0.0003109256872146244,-4.1214107022764204e-14,0.0,-1.2239225112369544e-7
1.7000000000000008,5.6795668036219984e-11,-0.00038072246957844845,0.00030621421067478645,-5.387445517309871e-14,0.0,-1.1683870353184668e-7
1.7500000000000009,5.792114219989705e-11,-0.00037512982517174943,0.0003017106145326867,-6.955493913501029e-14,0.0,-1.1169295639009043e-7
1.800000000000001,5.881288996666776e-11,-0.00036977658485974504,0.00029740004868530234,-8.875385943636017e-14,0.0,-1.0691425909848361e-7
1.850000000000001,5.94800308066899e-11,-0.00036464613797635207,0.0002932691069351311,-1.1200705816148931e-13,0.0,-1.0246695343900294e-7
1.900000000000001,5.99333276706623e-11,-0.0003597234424962352,0.0002893056513624193,-1.398838240072289e-13,0.0,-9.831971718612768e-8
1.950000000000001,6.018475041209362e-11,-0.0003549948393368283,0.00028549866211976935,-1.7298191481560943e-13,0.0,-9.444493686324839e-8
